"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"35kd_ag",6831.07408065756,-4.8891034679354,1.27456702861421,-3.44360348996907,0.000574016860700533,0.00555719550334181
"PE13",2266.98909554631,-2.33957283266766,0.710255970811786,-2.59001389395589,0.00959720583605046,0.0392834781255286
"PE19",4230.47877066814,-3.58985653485558,0.994045258862327,-3.10836605004472,0.00188124902680573,0.0131687431876401
"PE25",1161.86345627142,-3.43104509641489,1.15071546155733,-2.54715018119957,0.0108606681965555,0.0420857877695014
"PPE17",4805.95448047237,-4.1494394643238,1.23317970120553,-2.95937361015283,0.00308265122814663,0.0183817351011706
"PPE18",2558.78931835179,-2.75699899280718,0.890182588349249,-2.53543376645071,0.0112308164186842,0.0427124750411375
"PPE20",5844.4855678086,-4.11937463098206,1.27485953446234,-2.83903797488443,0.00452497714458925,0.0237694222929054
"PPE3",4206.1925503542,-4.15130006394943,1.28151054148152,-2.84921578540295,0.00438271441171647,0.0233906194570061
"PPE41",2655.2192251949,-3.35492078308148,1.15370235825992,-2.47457306699749,0.0133395531200812,0.0487271170973973
"PPE57",1690.52585803219,-4.0144485034579,1.29464030450369,-2.71461385160969,0.00663530884906255,0.0292317076473844
"PPE58",1264.71847850249,-28.3616016343169,4.78496141597481,-5.8227432182211,5.78894643839121e-09,1.39803056487148e-06
"PPE59",3535.87138333189,-7.29801261485656,1.61044087674926,-4.22121216183896,2.42992095163042e-05,0.000499426306228719
"PPE68",5058.40082892258,-3.89778033726292,1.14060209992189,-2.97893571956041,0.00289251451934758,0.0176067511914248
"Rv0108c",1790.58935282486,-3.33822415919497,1.00707463072616,-2.81828582768335,0.00482808090662242,0.0248081178499854
"Rv0140",6803.81450656932,-6.33635171367727,1.44045213806838,-4.05174983564792,5.08360038309587e-05,0.00090939962408715
"Rv0188",16850.1829033279,-5.72546785731051,1.39312683584836,-3.75089167967137,0.000176206815807931,0.00221059459831769
"Rv0249c",1849.67989276686,-3.71719679702397,1.1483506184096,-2.80158058475174,0.00508529387483285,0.0254528180470909
"Rv0250c",1988.92634221194,-5.10904071169047,1.19629779356995,-3.85275366757663,0.00011679687609067,0.00158909552540264
"Rv0383c",2512.74695175906,-3.78584681094482,1.06616355139655,-3.08193504330621,0.0020565971051499,0.0138928168082154
"Rv0455c",1424.4256441553,-3.63074874687043,1.1301273417447,-2.77026192644553,0.00560112304126177,0.0268440577695885
"Rv0474",1301.13889605371,-4.58013874173377,1.08776840081209,-3.75092596796126,0.0001761827182786,0.00221059459831769
"Rv0569",5613.1132011526,-7.07074714117935,1.28348628603965,-5.11945255095335,3.06423850728161e-07,2.4667119983617e-05
"Rv0678",9068.21080379149,-4.7271922642018,1.32316975386379,-3.19474674497204,0.00139953592794426,0.0106146917690452
"Rv0693",3666.40523708802,-3.49764179687833,1.1852285891217,-2.52916764275801,0.0114333401931976,0.0433121828495252
"Rv0694",3427.26657593454,-3.63618642894896,1.16144415008674,-2.70024729877433,0.00692879515767353,0.0298804291174671
"Rv0790c",1902.03152272884,-3.94469952944075,1.21934302422303,-2.82504550484121,0.00472739017602105,0.0245519296238512
"Rv0805",15561.0922362869,-5.99236206073715,1.34856432801201,-4.07274754837519,4.64617761046834e-05,0.000879866127617074
"Rv0831c",2220.24700620603,-2.97230408252942,0.970667650885102,-2.54701398596631,0.0108649078624866,0.0420857877695014
"Rv0885",9008.86959074073,-4.75603634835424,1.25192133702234,-3.39960365119832,0.000674835966951161,0.00598065636765891
"Rv0991c",8906.03072524862,-7.21599792567365,1.42203086853359,-4.72282147616053,2.32595011479106e-06,0.000106993705280389
"Rv1072",58365.2750792575,-6.97899257798234,1.36379969444289,-4.75069220530143,2.02721501686562e-06,0.000103067879278536
"Rv1073",5098.43938901292,-4.70132757659375,1.22685599715445,-3.42446675595038,0.000616007206231005,0.00567139959671619
"Rv1109c",2104.33263849119,-3.31833738801169,1.00987448463599,-2.79077987501344,0.00525812189176733,0.0258816985127513
"Rv1156",2687.65199418496,-3.7966498239902,1.0275119127434,-3.2083811225004,0.00133484479624581,0.0103156805853877
"Rv1211",2025.02418773139,-3.47688384159459,0.966693454961711,-3.07944967074645,0.0020738340663307,0.0139119701949685
"Rv1265",4795.55342235626,-3.26843355230238,1.07490119787829,-2.57552373908121,0.0100088402457668,0.0406241162916417
"Rv1286",5588.53908791693,-3.84024659988555,1.14427283828459,-2.91909978820522,0.00351043830615718,0.0203058886451966
"Rv1303",1325.69233932455,-3.81956631520283,1.17254716612464,-2.83107273729061,0.00463921695817875,0.0242242355762199
"Rv1322A",3988.36005721383,-3.82314402730817,0.98580330338686,-3.37100110731123,0.000748955567640134,0.00645974177089615
"Rv1332",1638.34846869215,-4.49074255231355,1.23110395350934,-3.24159673189066,0.00118862087651629,0.00948932038607217
"Rv1393c",4538.31585675485,-3.6339889134623,1.22065871077019,-2.56745713262051,0.0102447455552274,0.0408943149022714
"Rv1419",2598.64763564281,-3.77976640207307,1.18799677291421,-2.76075362900832,0.00576681612214417,0.0268440577695885
"Rv1461",12863.3019570303,-3.34190692242052,0.968934118954671,-2.93302389380869,0.00335678057288797,0.019534036345842
"Rv1738",69357.9862317259,-6.82607559429164,1.44202097112771,-4.38695117543569,1.14950580194347e-05,0.000292216474915104
"Rv1772",6561.9717278455,-4.93135809064214,1.26239920749314,-3.51026685088141,0.000447657194081255,0.00460696776893162
"Rv1794",4497.00161458701,-3.04700934031523,0.994104514574538,-2.56211424751985,0.0104037088827702,0.041220216616096
"Rv1810",8041.01646094834,-6.0856231784638,1.28216301218,-4.35640642055867,1.32215180587595e-05,0.000311511864506383
"Rv1813c",7224.96290596533,-4.59021096899371,1.11701382173164,-3.6617371149919,0.000250510850438335,0.00284698213556979
"Rv1829",2254.92254704141,-4.09141801284417,1.1646794108278,-3.08361080264273,0.00204504939835012,0.0138928168082154
"Rv1871c",1436.49622968842,-3.1848726181082,0.74327849764845,-3.61220272966657,0.000303607058760029,0.00325871576402431
"Rv1904",1961.02198975288,-3.65745376783735,1.1049641445884,-2.85751694595802,0.00426969834927561,0.0232977959373984
"Rv1957",1694.33584355435,-3.41429128843722,1.1445864168072,-2.54615225695809,0.0108917670210925,0.0420857877695014
"Rv1996",28920.0735450466,-6.96555746537383,1.46849786928551,-4.40283748489169,1.06844201741295e-05,0.000286698608005807
"Rv2016",2057.56033032133,-4.38098832073934,1.2917412849989,-3.0044625543904,0.00266050505913382,0.0167976986086488
"Rv2030c",21517.3540750503,-4.64641905986877,1.21326548968178,-3.4175694397739,0.000631829739899267,0.00575799555417634
"Rv2077c",4468.68522896262,-4.30905267608667,1.27376142413658,-2.99039726271241,0.00278614835326201,0.0173134415322095
"Rv2091c",3150.9644126783,-3.20152527698055,1.02779785512559,-2.62845973408891,0.00857725092494011,0.0358644107644996
"Rv2134c",1826.55482398923,-3.56958158332253,1.10130926452148,-2.7872112604594,0.00531638078912473,0.0259374941530025
"Rv2144c",1283.56793949876,-2.92239996404702,0.91024965229565,-2.66124788725569,0.00778516183275428,0.0331298076230865
"Rv2204c",9116.50329422154,-5.29698544774342,1.17648784547682,-4.07737782093212,4.55464495075039e-05,0.000879866127617074
"Rv2323c",4280.9305946338,-3.7828876639405,1.24335390789472,-2.64034853077285,0.00828208051691233,0.0349366365909926
"Rv2348c",3199.979031095,-2.6175765994024,0.690046630311786,-3.06874420710614,0.00214960558766681,0.014222732860864
"Rv2454c",2989.01540469801,-3.68443495603535,1.11073239343607,-2.86696865496489,0.00414424056190356,0.0228762079017076
